Address,Name,CUISINE DESCRIPTION
1465 3 AVENUE 10028,gael pub,American
1469 5TH AVE 10035,rio samba restaurant and bar,Other
147 WEST   40 STREET 10018,jack's restaurant & bar,American
1470 JEROME AVENUE 10452,estrella bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1471 1 AVENUE 10075,american bar,American
1472 OGDEN AVENUE 10452,sal y pimienta bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
148 NAGLE AVENUE 10040,mi-nido tavern,"Bottled beverages, including water, sodas, juices, etc."
14905 UNION TURNPIKE 11367,cheap shots sports bar  and  lounge,American
14944 14 AVENUE 11357,the end zone bar,American
1495 1 AVENUE 10075,bar coastal,American
15 EAST   15 STREET 10003,park bar,American
15 W 18TH ST 10011,the gander bar room and restaurant,American
150 CENTRE STREET 10013,mika japanese cuisine & bar,Chinese/Japanese
150 DELANCEY ST 10002,retro grill & bar (holiday inn),American
150 E 50TH ST 10022,kb 50 kitchen bar,Other
150 W 30TH ST 10001,madison square tavern,American
150 WEST   47 STREET 10036,langans bar & restaurant,Irish
151 W 34TH ST 10001,rowlands bar and grill / chef street,Other
151 W 34TH ST 10001,pizza bar,Pizza
151 W 51ST ST 10019,le bernardin privãƒâ©/wine bar,French
1511 WHITE PLAINS ROAD 10462,archer sports bar,American
1511 WILKINSON AVE 10461,skyline bar & lounge,American
152 MESEROLE AVENUE 11222,pit stop bar,"Bottled beverages, including water, sodas, juices, etc."
152 WEST   26 STREET 10001,rare bar  and  grill,Steak
152 WEST   52 STREET 10019,bar americain,American
1530 UNIVERSITY AVENUE 10452,shesha bar and lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1534 3 AVENUE 10028,guzan japanese cuisine & bar,Japanese
1535 BROADWAY 10036,mariott marquis/crossroads bar,American
1540 VAN SICLEN AVE 11239,brooklyn juice bar,"Juice, Smoothies, Fruit Salads"
15417 ROOSEVELT AVENUE 11354,palazzo grill & bar,Asian
1549 ARTHUR KILL RD 10312,rookie's sports bar & grill,Other
155 5 AVENUE 11217,nana restaurant & bar,Asian
155 VARICK STREET 10013,city winery,American
1556 WILLIAMSBRIDGE RD 10461,the williamsbridge tavern,American
1559 RICHMOND ROAD 10304,max's es-ca restaurant and bar,American
156 E 33RD ST 10016,pino wine bar,American
157 EAST   55 STREET 10022,darbar grill,Indian
15712 NORTHERN BLVD 11354,tavern 157,Asian
158 AVENUE C 10009,east village tavern,American
158 EAST   23 STREET 10010,the globe bar & grill,American
158 EAST  116 STREET 10029,el barrio restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1583 2 AVENUE 10028,brady's bar,American
1591 2 AVENUE 10028,jack russell's pub,American
15915 JAMAICA AVENUE 11432,lets get juiced lucky's juice bar,"Juice, Smoothies, Fruit Salads"
1592 AMSTERDAM AVE 10031,clove indian restaurant bar,Indian
16 WEST   29 STREET 10001,the breslin bar & dinning room,English
16 WEST   29 STREET 10001,the breslin lobby bar & room service kitchen,American
16 WEST   29 STREET 10001,john dory oyster bar,Seafood
160 WEST   54 STREET 10019,old castle pub & restaurant,American
1602 GRAVESEND NECK ROAD 11229,anyway cafe bar,Russian
1605 BROADWAY 10019,brassierie 1605/broadway 49 bar & lounge (main kitchen),American
1607 YORK AVENUE 10028,bailey's corner pub,Irish
161 GRAND ST 11249,fresh kills bar,American
161 W 231ST ST 10463,new adventure juice bar,Spanish
16103 CROSSBAY BOULEVARD 11414,lenny's clam bar,Seafood
16118 NORTHERN BOULEVARD 11358,soo bar,Asian
16121 CROCHERON AVENUE 11358,late bar,Korean
1614 3 AVENUE 10128,kaia wine bar,African
1614 FOREST AVE 10302,o'neill's restaurant & bar,Irish
162 THROOP AVENUE 11206,genao restaurant & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1629 2ND AVE 10028,wild horse tavern,American
163 E 92ND ST 10128,bar roma,Italian
163 VAN PELT AVE 10303,romance bar and restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1634 EASTCHESTER ROAD 10461,pine bar & grill,Italian
1635 AMSTERDAM AVENUE 10031,the grange bar & eatery,Chilean
1640 NOSTRAND AVENUE 11226,caribbean & american entertainment bar  lounge & restaurant,Caribbean
16410 NORTHERN BOULEVARD 11358,jjack bar-room,Korean
1646 MADISON AVE 10029,mr. good juice bar,"Juice, Smoothies, Fruit Salads"
16602 65 AVENUE 11365,millard fillmores tavern,American
1662 ATLANTIC AVENUE 11213,essence bar & restaurant,American
1664 1 AVENUE 10028,eastend bar & grill,American
167 8 AVENUE 10011,gym sports bar,American
167 EAST   33 STREET 10016,cask bar & kitchen,American
167 GRAND ST 11249,dim sum bar,Chinese
1672 3 AVENUE 10128,kinsale tavern,American
1682 1 AVENUE 10128,hughes tavern,American
169 EAST  106 STREET 10029,la fonda restaurant and tapas bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
169 EAST BROADWAY 10002,169 bar,American
169 THOMPSON ST 10012,zz clam bar,American
16904 CROCHERON AVENUE 11358,breifne pub,Irish
1698 2 AVENUE 10128,shoga-sushi & oyster bar,Chinese
17 HARRISON AVENUE 10302,buddy's wonder bar,American
17 WEST   32 STREET 10001,vu bar,American
17 WILLIAMS AVE 11207,club house sports bar and lounge,American
17013 JAMAICA AVE 11432,502 bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1702 2 AVENUE 10128,rathbones pub,American
1708 2 AVENUE 10128,genesis bar & restaurant,Irish
171 1 AVENUE 10003,momofuku noodle bar,Asian
1710 UNIVERSITY AVENUE 10453,las banderas sport bar,Spanish
17102 JAMAICA AVE 11432,the lime  bar & lounge,Caribbean
17157 46TH AVE 11358,b.b's pub and grill,American
172 WAVERLY PLACE 10014,jeffrey's grocery restaurant & oyster bar,Seafood
17237 HILLSIDE AVE 11432,monte limar sport bar lounge,"Bottled beverages, including water, sodas, juices, etc."
1727 RICHMOND RD 10306,m & k spanish restaurant bar,Spanish
1728 2 AVENUE 10128,il vino city wine bar,Italian
173 WEST BURNSIDE AVENUE 10453,joshue deli & juice bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
17306 JAMAICA AVE 11432,berbice bar  and  restaurant,Other
1731 2ND AVE 10128,il salumaio wine bar,Italian
1735 E 172ND ST 10472,legends bar & restaurant,Spanish
1739 2 AVENUE 10128,san matteo pizza espresso bar,Pizza
174 1 AVENUE 10009,nai tapas bar,Tapas
174 8 AVENUE 10011,el cid tapas bar & restaurant,Tapas
174 RIVINGTON ST 10002,174 rivington street bar,American
1742 2 AVENUE 10128,wine bar & ristorante,Italian
175 LUDLOW STREET 10002,taverna di bacco,Italian
175 SMITH STREET 11201,boat bar,American
1756 BRONXDALE AVENUE 10462,van nest lanes snack bar,American
176 12 MULBERRY STREET 10013,mulberry street bar,Italian
176 7 AVENUE 10011,bar veloce,American
176 E 174TH ST 10457,coneja juice bar,American
1773 NOSTRAND AVE 11226,l'unique bar & restaurant,Caribbean
